GensetID,NormalizedGeneratorLoad,Efficiency
GEN-01,0,0.82
GEN-01,0.1,0.849414384760659
GEN-01,0.2,0.87
GEN-01,0.3,0.881411545324337
GEN-01,0.4,0.891396034452369
GEN-01,0.5,0.899594425506923
GEN-01,0.6,0.905647676610826
GEN-01,0.7,0.909196745886904
GEN-01,0.772727272727273,0.91
GEN-01,0.8,0.909822422857143
GEN-01,0.9,0.906498382222222
GEN-01,1,0.9
GEN-02,0,0.825454545454545
GEN-02,0.1,0.854922618484793
GEN-02,0.2,0.875454545454545
GEN-02,0.3,0.886689456408831
GEN-02,0.4,0.896486874527501
GEN-02,0.5,0.904502204441832
GEN-02,0.6,0.910390850783103
GEN-02,0.7,0.913808218182589
GEN-02,0.77037037037037,0.914545454545455
GEN-02,0.8,0.91434108072147
GEN-02,0.9,0.910996140883416
GEN-02,1,0.904545454545455
GEN-03,0,0.830909090909091
GEN-03,0.1,0.860432897701224
GEN-03,0.2,0.880909090909091
GEN-03,0.3,0.89195878146555
GEN-03,0.4,0.901562303366855
GEN-03,0.5,0.909390953195784
GEN-03,0.6,0.915116027535118
GEN-03,0.7,0.918408822967638
GEN-03,0.768456375838926,0.919090909090909
GEN-03,0.8,0.918863566715895
GEN-03,0.9,0.915500311849491
GEN-03,1,0.909090909090909
GEN-04,0,0.836363636363636
GEN-04,0.1,0.865944888609926
GEN-04,0.2,0.886363636363636
GEN-04,0.3,0.897221195769094
GEN-04,0.4,0.906625603267299
GEN-04,0.5,0.914265014963661
GEN-04,0.6,0.919827586963588
GEN-04,0.7,0.923001475372491
GEN-04,0.766871165644172,0.923636363636364
GEN-04,0.8,0.923389053018182
GEN-04,0.9,0.920009011439897
GEN-04,1,0.913636363636364
GEN-05,0,0.841818181818182
GEN-05,0.1,0.871458364515834
GEN-05,0.2,0.891818181818182
GEN-05,0.3,0.902477845957394
GEN-05,0.4,0.911679030508347
GEN-05,0.5,0.919127377725593
GEN-05,0.6,0.924528529863685
GEN-05,0.7,0.927588129177175
GEN-05,0.765536723163842,0.928181818181818
GEN-05,0.8,0.927916910157865
GEN-05,0.9,0.924521021927451
GEN-05,1,0.918181818181818
GEN-06,0,0.847272727272727
GEN-06,0.1,0.876973167695427
GEN-06,0.2,0.897272727272727
GEN-06,0.3,0.907729538984923
GEN-06,0.4,0.916724182011276
GEN-06,0.5,0.923980160535209
GEN-06,0.6,0.929220978740144
GEN-06,0.7,0.932170140809503
GEN-06,0.764397905759162,0.932727272727273
GEN-06,0.8,0.932446662029776
GEN-06,0.9,0.929035522868642
GEN-06,1,0.922727272727273
GEN-07,0,0.852727272727273
GEN-07,0.1,0.882489186528772
GEN-07,0.2,0.902727272727273
GEN-07,0.3,0.912976855281378
GEN-07,0.4,0.921762215063544
GEN-07,0.5,0.928824904312664
GEN-07,0.6,0.933906475267632
GEN-07,0.7,0.936748480167342
GEN-07,0.763414634146341,0.937272727272727
GEN-07,0.8,0.936977946346711
GEN-07,0.9,0.933551942221459
GEN-07,1,0.927272727272727
GEN-08,0,0.858181818181818
GEN-08,0.1,0.888006341215434
GEN-08,0.2,0.908181818181818
GEN-08,0.3,0.918220219359891
GEN-08,0.4,0.926793984498925
GEN-08,0.5,0.933662753063858
GEN-08,0.6,0.938586164519631
GEN-08,0.7,0.941323858331179
GEN-08,0.762557077625571,0.941818181818182
GEN-08,0.8,0.941510484582994
GEN-08,0.9,0.938069869461538
GEN-08,1,0.931818181818182
GEN-09,0,0.863636363636364
GEN-09,0.1,0.893524574538489
GEN-09,0.2,0.913636363636364
GEN-09,0.3,0.923459945435937
GEN-09,0.4,0.931820131373669
GEN-09,0.5,0.938494570841188
GEN-09,0.6,0.943260913230128
GEN-09,0.7,0.945896807932118
GEN-09,0.761802575107296,0.946363636363636
GEN-09,0.8,0.946044060098983
GEN-09,0.9,0.942589002630553
GEN-09,1,0.936363636363636
GEN-10,0,0.869090909090909
GEN-10,0.1,0.899043845713003
GEN-10,0.2,0.919090909090909
GEN-10,0.3,0.928696267795435
GEN-10,0.4,0.936841142027485
GEN-10,0.5,0.943321019538904
GEN-10,0.6,0.947931388081541
GEN-10,0.7,0.950467735407242
GEN-10,0.761133603238866,0.950909090909091
GEN-10,0.8,0.950578502391406
GEN-10,0.9,0.947109114850942
GEN-10,1,0.940909090909091
GEN-11,0,0.874545454545455
GEN-11,0.1,0.904564126182455
GEN-11,0.2,0.924545454545455
GEN-11,0.3,0.93392936154143
GEN-11,0.4,0.941857388453972
GEN-11,0.5,0.948142612009414
GEN-11,0.6,0.952598108934087
GEN-11,0.7,0.955036955954326
GEN-11,0.760536398467433,0.955454545454545
GEN-11,0.8,0.95511367573058
GEN-11,0.9,0.951630032466285
GEN-11,1,0.945454545454545
GEN-12,0,0.88
GEN-12,0.1,0.910085396681359
GEN-12,0.2,0.93
GEN-12,0.3,0.939159357092591
GEN-12,0.4,0.946869156529607
GEN-12,0.5,0.952959749170604
GEN-12,0.6,0.957261485875138
GEN-12,0.7,0.959604717502765
GEN-12,0.76,0.96
GEN-12,0.8,0.959649470899471
GEN-12,0.9,0.95615162037037
GEN-12,1,0.95
