RouteID,RouteName,RouteType,Time_s,Speed_kmh,Grade_pct,StopFlag,AuxMultiplier
VECTO-URBAN,EU VECTO Urban Bus,Urban,0,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,1,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,2,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,3,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,4,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,5,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,6,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,7,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,8,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,9,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,10,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,11,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,12,0,-7,1,1.1
VECTO-URBAN,EU VECTO Urban Bus,Urban,13,0,-7,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,14,3.6,-7,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,15,7.2,-7,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,16,10.8,-7.08333333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,17,14.4,-7.16,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,18,18,-7.23125,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,19,21.6,-7.3,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,20,23.7,-7.19513888888889,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,21,23.7,-7.07083333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,22,23.7,-6.81805555555556,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,23,23.7,-6.29583333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,24,23.7,-5.6375,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,25,23.7,-4.75833333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,26,23.7,-3.82083333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,27,23.7,-2.625,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,28,23.7,-1.40833333333333,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,29,23.7,-0.0916666666666686,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,30,19.02,1.095,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,31,18.4,2.06722222222222,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,32,18.4,2.95666666666667,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,33,18.4,3.87888888888889,0,1
VECTO-URBAN,EU VECTO Urban Bus,Urban,34,18.4,4.60055555555556,0,1
