GensetID,NormalizedEngineLoad,BSFC_g_kWh
GEN-01,0,217.25
GEN-01,0.1,210.347394819844
GEN-01,0.2,205
GEN-01,0.3,201.115826516426
GEN-01,0.4,197.467801620259
GEN-01,0.5,194.296661897641
GEN-01,0.6,191.843143934715
GEN-01,0.7,190.347984317624
GEN-01,0.772727272727273,190
GEN-01,0.8,191.152171428571
GEN-01,0.9,210.385866666667
GEN-01,1,240
GEN-02,0,221.045454545455
GEN-02,0.1,214.069134181342
GEN-02,0.2,208.636363636364
GEN-02,0.3,204.640559182299
GEN-02,0.4,200.874179513962
GEN-02,0.5,197.594384208635
GEN-02,0.6,195.0583328436
GEN-02,0.7,193.523184996141
GEN-02,0.77037037037037,193.181818181818
GEN-02,0.8,194.529855712229
GEN-02,0.9,214.194773953446
GEN-02,1,244.090909090909
GEN-03,0,224.840909090909
GEN-03,0.1,217.79042452791
GEN-03,0.2,212.272727272727
GEN-03,0.3,208.167177634941
GEN-03,0.4,204.283985532381
GEN-03,0.5,200.896401896059
GEN-03,0.6,198.277677656989
GEN-03,0.7,196.701063746186
GEN-03,0.768456375838926,196.363636363636
GEN-03,0.8,197.885531244498
GEN-03,0.9,217.959333005797
GEN-03,1,248.181818181818
GEN-04,0,228.636363636364
GEN-04,0.1,221.511351959163
GEN-04,0.2,215.909090909091
GEN-04,0.3,211.695279238828
GEN-04,0.4,207.696445433346
GEN-04,0.5,204.201698723358
GEN-04,0.6,201.500148339578
GEN-04,0.7,199.880903512719
GEN-04,0.766871165644172,199.545454545455
GEN-04,0.8,201.223517549396
GEN-04,0.9,221.691758303924
GEN-04,1,252.272727272727
GEN-05,0,232.431818181818
GEN-05,0.1,225.231977823131
GEN-05,0.2,219.545454545455
GEN-05,0.3,215.224580884629
GEN-05,0.4,211.1110179454
GEN-05,0.5,207.509568566216
GEN-05,0.6,204.725035585524
GEN-05,0.7,203.062221841774
GEN-05,0.765536723163842,202.727272727273
GEN-05,0.8,204.547242917076
GEN-05,0.9,225.400159379187
GEN-05,1,256.363636363636
GEN-06,0,236.227272727273
GEN-06,0.1,228.952347416353
GEN-06,0.2,223.181818181818
GEN-06,0.3,218.754876577724
GEN-06,0.4,214.527311901349
GEN-06,0.5,210.819504458738
GEN-06,0.6,207.951834555933
GEN-06,0.7,206.244682498979
GEN-06,0.764397905759162,205.909090909091
GEN-06,0.8,207.859380865065
GEN-06,0.9,229.090130500289
GEN-06,1,260.454545454545
GEN-07,0,240.022727272727
GEN-07,0.1,232.672495215918
GEN-07,0.2,226.818181818182
GEN-07,0.3,222.286011996359
GEN-07,0.4,217.945036522337
GEN-07,0.5,214.131132190221
GEN-07,0.6,211.180175794118
GEN-07,0.7,209.428044128132
GEN-07,0.763414634146341,209.090909090909
GEN-07,0.8,211.162014588269
GEN-07,0.9,232.765655125473
GEN-07,1,264.545454545455
GEN-08,0,243.818181818182
GEN-08,0.1,236.392448160137
GEN-08,0.2,230.454545454545
GEN-08,0.3,225.817868581252
GEN-08,0.4,221.363970333252
GEN-08,0.5,217.444168882935
GEN-08,0.6,214.409782402692
GEN-08,0.7,212.612129064913
GEN-08,0.762557077625571,212.272727272727
GEN-08,0.8,214.456776860848
GEN-08,0.9,236.429646455112
GEN-08,1,268.636363636364
GEN-09,0,247.613636363636
GEN-09,0.1,240.112227780485
GEN-09,0.2,234.090909090909
GEN-09,0.3,229.350353226581
GEN-09,0.4,224.783941031754
GEN-09,0.5,220.75839622626
GEN-09,0.6,217.640442529932
GEN-09,0.7,215.796803662601
GEN-09,0.761802575107296,215.454545454545
GEN-09,0.8,217.744958437816
GEN-09,0.9,240.084284091573
GEN-09,1,272.727272727273
GEN-10,0,251.409090909091
GEN-10,0.1,243.831851630717
GEN-10,0.2,237.727272727273
GEN-10,0.3,232.883391392361
GEN-10,0.4,228.204812049387
GEN-10,0.5,224.073642648147
GEN-10,0.6,220.871991138438
GEN-10,0.7,218.981965470056
GEN-10,0.761133603238866,218.636363636364
GEN-10,0.8,221.027589443085
GEN-10,0.9,243.731231190003
GEN-10,1,276.818181818182
GEN-11,0,255.204545454545
GEN-11,0.1,247.551334271323
GEN-11,0.2,241.363636363636
GEN-11,0.3,236.416922377639
GEN-11,0.4,231.626473339295
GEN-11,0.5,227.389771121194
GEN-11,0.6,224.104297595929
GEN-11,0.7,222.16753463609
GEN-11,0.760536398467433,221.818181818182
GEN-11,0.8,224.305499942975
GEN-11,0.9,247.371778812949
GEN-11,1,280.909090909091
GEN-12,0,259
GEN-12,0.1,251.270687964289
GEN-12,0.2,245
GEN-12,0.3,239.950895998794
GEN-12,0.4,235.04883491199
GEN-12,0.5,230.706670626057
GEN-12,0.6,227.337257027463
GEN-12,0.7,225.353448002675
GEN-12,0.76,225
GEN-12,0.8,227.579365079365
GEN-12,0.9,251.006944444444
GEN-12,1,285
