ComponentID,Name,Manufacturer,PeakPower_kW,ContinuousPower_kW,PeakTorque_Nm,ContinuousTorque_Nm,MaxSpeed_rpm,BaseSpeed_rpm,MotoringEfficiency,RegenEfficiency,Mass_kg,VoltageClass_V,WheelSideCompatibility,MinReductionRatio,MaxReductionRatio,OptimizationEnabled,Notes
MOT-01,Rear Hub Motor 01,Concept Manufacturer,180,110,2200,1100,3500,900,0.9,0.78,90,600,Rear wheel hub,6,10,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-02,Rear Hub Motor 02,Concept Manufacturer,192.727272727273,120,2363.63636363636,1218.18181818182,3727.27272727273,972.727272727273,0.905454545454546,0.791818181818182,99.0909090909091,600,Rear wheel hub,6.72727272727273,11.0909090909091,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-03,Rear Hub Motor 03,Concept Manufacturer,205.454545454545,130,2527.27272727273,1336.36363636364,3954.54545454545,1045.45454545455,0.910909090909091,0.803636363636364,108.181818181818,650,Rear wheel hub,7.45454545454546,12.1818181818182,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-04,Rear Hub Motor 04,Concept Manufacturer,218.181818181818,140,2690.90909090909,1454.54545454545,4181.81818181818,1118.18181818182,0.916363636363636,0.815454545454545,117.272727272727,650,Rear wheel hub,8.18181818181818,13.2727272727273,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-05,Rear Hub Motor 05,Concept Manufacturer,230.909090909091,150,2854.54545454545,1572.72727272727,4409.09090909091,1190.90909090909,0.921818181818182,0.827272727272727,126.363636363636,650,Rear wheel hub,8.90909090909091,14.3636363636364,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-06,Rear Hub Motor 06,Concept Manufacturer,243.636363636364,160,3018.18181818182,1690.90909090909,4636.36363636364,1263.63636363636,0.927272727272727,0.839090909090909,135.454545454545,700,Rear wheel hub,9.63636363636364,15.4545454545455,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-07,Rear Hub Motor 07,Concept Manufacturer,256.363636363636,170,3181.81818181818,1809.09090909091,4863.63636363636,1336.36363636364,0.932727272727273,0.850909090909091,144.545454545455,700,Rear wheel hub,10.3636363636364,16.5454545454545,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-08,Rear Hub Motor 08,Concept Manufacturer,269.090909090909,180,3345.45454545455,1927.27272727273,5090.90909090909,1409.09090909091,0.938181818181818,0.862727272727273,153.636363636364,750,Rear wheel hub,11.0909090909091,17.6363636363636,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-09,Rear Hub Motor 09,Concept Manufacturer,281.818181818182,190,3509.09090909091,2045.45454545455,5318.18181818182,1481.81818181818,0.943636363636364,0.874545454545455,162.727272727273,750,Rear wheel hub,11.8181818181818,18.7272727272727,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-10,Rear Hub Motor 10,Concept Manufacturer,294.545454545455,200,3672.72727272727,2163.63636363636,5545.45454545455,1554.54545454545,0.949090909090909,0.886363636363636,171.818181818182,750,Rear wheel hub,12.5454545454545,19.8181818181818,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-11,Rear Hub Motor 11,Concept Manufacturer,307.272727272727,210,3836.36363636364,2281.81818181818,5772.72727272727,1627.27272727273,0.954545454545454,0.898181818181818,180.909090909091,800,Rear wheel hub,13.2727272727273,20.9090909090909,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-12,Rear Hub Motor 12,Concept Manufacturer,320,220,4000,2400,12000,3800,0.96,0.91,190,800,Rear wheel hub,14,22,1,Synthetic rear-hub motor concept data with torque-speed loss map
MOT-ABC,Rear Hub Motor ABC,Concept Manufacturer,307.272727272727,210,3836.36363636364,2281.81818181818,5772.72727272727,1627.27272727273,0.954545454545454,0.898181818181818,180.909090909091,800,Rear wheel hub,13.2727272727273,20.9090909090909,1,Synthetic engineering concept data
